Date,Load
16/01/2023 15.00,2431.858
16/01/2023 15.30,2564.471
16/01/2023 16.00,2834.413
16/01/2023 16.30,3076.227
16/01/2023 17.00,3177.338
16/01/2023 17.30,3387.513
16/01/2023 18.00,3554.921
16/01/2023 18.30,2958.093
16/01/2023 19.00,3910.838
16/01/2023 19.30,3604.092
16/01/2023 20.00,3471.808
16/01/2023 20.30,3413.625
16/01/2023 21.00,3304.358
16/01/2023 21.30,2547.314
16/01/2023 22.00,2335.273
16/01/2023 22.30,1374.289
16/01/2023 23.00,1132.751
16/01/2023 23.30,996.972
17/01/2023 00.00,862.033
17/01/2023 00.30,628.604
17/01/2023 01.00,611.993
17/01/2023 01.30,609.105
17/01/2023 02.00,601.719
17/01/2023 02.30,571.524
17/01/2023 03.00,575.07
17/01/2023 03.30,551.136
17/01/2023 04.00,461.598
17/01/2023 04.30,461.342
17/01/2023 05.00,474.452
17/01/2023 05.30,457.576
17/01/2023 06.00,397.794
17/01/2023 06.30,434.735
17/01/2023 07.00,416.571
17/01/2023 07.30,355.117
17/01/2023 08.00,363.055
17/01/2023 08.30,316.341
17/01/2023 09.00,290.577
17/01/2023 09.30,272.099
17/01/2023 10.00,305.76
17/01/2023 10.30,326.235
17/01/2023 11.00,1981.887
17/01/2023 11.30,2086.445
17/01/2023 12.00,2084.405
17/01/2023 12.30,2275.707
17/01/2023 13.00,2353.798
17/01/2023 13.30,2234.109
17/01/2023 14.00,2221.193
17/01/2023 14.30,2286.713
17/01/2023 15.00,3112.068
17/01/2023 15.30,2892.649
17/01/2023 16.00,3029.272
17/01/2023 16.30,3055.054
17/01/2023 17.00,3196.932
17/01/2023 17.30,3471.617
17/01/2023 18.00,3519.964
17/01/2023 18.30,3623.65
17/01/2023 19.00,3756.042
17/01/2023 19.30,3663.112
17/01/2023 20.00,3598.13
17/01/2023 20.30,3525.351
17/01/2023 21.00,2789.818
17/01/2023 21.30,2482.766
17/01/2023 22.00,2203.625
17/01/2023 22.30,1429.832
17/01/2023 23.00,1290.014
17/01/2023 23.30,1152.072
18/01/2023 00.00,1066.435
18/01/2023 00.30,535.668
18/01/2023 01.00,540.109
18/01/2023 01.30,564.348
18/01/2023 02.00,496.247
18/01/2023 02.30,494.976
18/01/2023 03.00,494.504
18/01/2023 03.30,474.58
18/01/2023 04.00,446.887
18/01/2023 04.30,455.722
18/01/2023 05.00,433.027
18/01/2023 05.30,433.393
18/01/2023 06.00,390.787
18/01/2023 06.30,443.431
18/01/2023 07.00,424.095
18/01/2023 07.30,355.853
18/01/2023 08.00,335.094
18/01/2023 08.30,302.123
18/01/2023 09.00,267.91
18/01/2023 09.30,248.957
18/01/2023 10.00,91.721
18/01/2023 10.30,310.095
18/01/2023 11.00,2079.759
18/01/2023 11.30,2260.351
18/01/2023 12.00,2163.792
18/01/2023 12.30,2090.738
18/01/2023 13.00,2218.841
18/01/2023 13.30,2128.273
18/01/2023 14.00,2219.64
18/01/2023 14.30,2288.913
18/01/2023 15.00,2530.432
18/01/2023 15.30,2615.114
18/01/2023 16.00,2826.999
18/01/2023 16.30,3042.925
18/01/2023 17.00,3167.332
18/01/2023 17.30,3434.257
18/01/2023 18.00,3630.449
18/01/2023 18.30,3571.637
18/01/2023 19.00,3646.445
18/01/2023 19.30,3572.787
18/01/2023 20.00,3415.149
18/01/2023 20.30,3235.996
18/01/2023 21.00,3127.939
18/01/2023 21.30,2415.735
18/01/2023 22.00,2186.214
18/01/2023 22.30,1344.482
18/01/2023 23.00,1222.645
18/01/2023 23.30,1006.944
19/01/2023 00.00,703.603
19/01/2023 00.30,610.73
19/01/2023 01.00,578.69
19/01/2023 01.30,566.848
19/01/2023 02.00,560.774
19/01/2023 02.30,523.361
19/01/2023 03.00,534.754
19/01/2023 03.30,521.636
19/01/2023 04.00,435.728
19/01/2023 04.30,454.805
19/01/2023 05.00,450.647
19/01/2023 05.30,423.239
19/01/2023 06.00,432.21
19/01/2023 06.30,452.877
19/01/2023 07.00,492.448
19/01/2023 07.30,363.623
19/01/2023 08.00,408.184
19/01/2023 08.30,344.563
19/01/2023 09.00,395.928
19/01/2023 09.30,402.927
19/01/2023 10.00,274.03
19/01/2023 10.30,926.445
19/01/2023 11.00,2045.857
19/01/2023 11.30,2156.296
19/01/2023 12.00,2032.379
19/01/2023 12.30,1987.593
19/01/2023 13.00,1953.872
19/01/2023 13.30,2050.707
19/01/2023 14.00,2122.932
19/01/2023 14.30,2253.09
19/01/2023 15.00,2388.445
19/01/2023 15.30,2579.48
19/01/2023 16.00,2916.506
